HomeTeam|AwayTeam|RollingAvg_Home_HS|RollingAvg_Home_HST|RollingAvg_Home_HF|RollingAvg_Home_HC|RollingAvg_Away_AS|RollingAvg_Away_AST|RollingAvg_Away_AF|RollingAvg_Away_AC|HomeTeam_Form|AwayTeam_Form|B365H|B365D|B365A|FTR
Udinese|Genoa|10.2|3.0|12.6|6.0|10.4|3.2|12.4|4.2|0.8|1.0|2.0|3.3|4.0|A
Parma|Lazio|13.8|3.0|10.0|4.6|13.2|5.8|12.6|4.6|1.0|3.0|4.2|3.8|1.8|H
Torino|Napoli|9.2|3.2|14.2|3.2|9.4|2.8|10.6|4.0|0.8|2.0|5.0|3.4|1.8|A
Lecce|Juventus|12.2|4.0|9.8|2.4|10.8|3.6|13.0|4.4|1.4|1.8|5.25|3.6|1.7|D
Roma|Atalanta|13.2|3.4|12.8|3.6|16.8|5.6|9.4|5.2|0.6|3.0|3.2|3.5|2.2|A
Inter|Parma|19.6|6.8|10.8|10.0|10.0|3.0|8.8|4.6|2.2|1.4|1.18|7.0|15.0|H
Atalanta|Milan|17.2|7.2|10.0|4.8|13.8|6.2|12.8|3.4|3.0|1.6|2.15|3.4|3.3|H
Genoa|Torino|11.4|3.8|14.6|4.6|8.8|3.2|12.2|5.2|1.6|0.2|2.5|3.1|3.0|D
Juventus|Bologna|16.8|5.0|12.2|6.2|10.2|4.0|15.8|3.2|1.8|2.4|1.7|3.6|5.25|D
Roma|Lecce|13.4|4.2|12.2|4.0|7.2|1.6|13.4|1.8|0.6|1.6|1.57|4.0|6.25|H
Fiorentina|Cagliari|13.2|5.4|9.0|4.6|8.6|2.0|12.6|4.4|3.0|1.0|1.5|4.5|6.0|H
Verona|Empoli|11.4|3.2|12.6|6.6|9.6|3.0|18.0|4.0|0.6|1.0|2.63|2.75|3.25|A
Venezia|Como|13.2|5.4|10.8|4.2|14.2|4.4|11.2|4.8|0.6|0.4|2.75|3.3|2.6|D
Napoli|Lazio|14.4|4.0|10.8|7.6|12.0|5.0|12.4|4.8|2.0|2.4|1.9|3.4|4.33|A
Monza|Udinese|13.4|2.6|15.2|4.8|13.0|3.6|13.6|4.8|0.4|0.2|2.7|3.0|2.88|A
Empoli|Torino|8.0|3.0|11.6|4.8|10.2|3.0|13.4|5.8|1.6|0.4|2.7|2.88|3.0|A
Cagliari|Atalanta|15.8|5.6|11.8|6.2|14.6|5.0|9.0|4.4|1.0|3.0|5.5|4.33|1.55|A
Udinese|Napoli|9.6|3.0|12.8|5.2|11.2|3.4|9.6|5.2|0.8|1.4|5.25|3.5|1.73|A
Juventus|Venezia|15.0|4.0|11.4|6.0|7.4|1.8|12.2|3.2|1.8|0.2|1.3|5.25|9.0|D
Lecce|Monza|11.6|4.2|10.4|2.4|8.4|3.4|12.8|4.2|1.0|0.4|2.45|3.0|3.2|H
Bologna|Fiorentina|15.2|4.6|14.0|5.2|11.4|5.2|12.2|3.4|2.0|3.0|2.7|3.1|2.75|H
Parma|Verona|14.0|3.8|9.0|4.6|9.4|2.6|16.6|2.4|1.2|0.6|1.85|3.75|4.0|A
Como|Roma|14.0|3.8|14.6|6.0|11.0|2.8|12.2|2.8|0.6|0.6|3.25|3.4|2.2|H
Milan|Genoa|14.2|3.8|9.8|6.2|9.6|3.2|12.4|3.8|1.6|1.8|1.33|5.25|8.0|D
Lazio|Inter|15.2|4.2|11.0|4.2|13.2|6.4|10.2|2.8|2.4|2.6|3.6|3.4|2.1|A
Verona|Milan|10.8|2.8|14.8|4.6|13.4|5.8|13.8|4.6|0.6|1.2|5.5|4.1|1.57|A
Torino|Bologna|8.0|1.8|14.4|3.4|9.4|3.6|16.8|1.8|1.0|2.0|3.3|2.9|2.45|A
Genoa|Napoli|11.6|3.6|12.2|5.4|11.8|3.6|8.6|5.0|1.4|2.0|5.25|3.6|1.7|A
Lecce|Lazio|12.8|4.2|11.4|3.4|14.2|6.2|13.0|5.8|1.6|1.8|5.0|3.6|1.73|A
Roma|Parma|14.4|5.4|11.8|4.4|9.2|3.2|7.4|3.8|0.6|1.2|1.53|4.2|6.25|H
Venezia|Cagliari|13.2|5.8|9.6|4.6|9.6|3.0|12.8|5.4|0.4|1.0|2.5|3.3|2.88|H
Atalanta|Empoli|15.8|7.0|10.4|5.2|9.6|3.2|17.6|4.0|3.0|1.0|1.29|5.5|11.0|H
Monza|Juventus|16.2|3.0|13.4|5.2|11.6|4.8|12.8|5.2|0.4|1.4|6.25|3.5|1.65|A
Fiorentina|Udinese|13.2|5.0|8.8|6.0|12.6|4.2|13.6|4.4|2.4|0.8|1.6|3.8|6.0|A
Inter|Como|17.2|6.2|12.2|8.6|13.6|4.8|12.2|4.8|2.6|1.2|1.2|6.5|15.0|H
Empoli|Genoa|8.2|3.8|12.0|4.8|11.0|3.8|12.0|4.2|0.8|1.2|2.55|2.9|3.1|A
Parma|Monza|12.4|3.6|9.8|3.6|8.4|3.4|14.4|4.2|0.6|0.4|2.3|3.5|3.0|H
Cagliari|Inter|13.2|4.8|12.8|5.4|14.0|6.0|10.0|3.6|0.8|2.6|6.5|4.75|1.44|A
Lazio|Atalanta|14.2|4.0|10.2|3.6|14.2|4.4|10.0|4.8|1.8|3.0|3.0|3.3|2.4|D
Udinese|Torino|9.0|2.8|13.8|5.0|9.2|3.2|14.2|4.0|1.4|1.0|2.25|3.1|3.5|D
Napoli|Venezia|17.6|4.4|11.4|9.6|6.0|1.8|13.2|2.8|2.4|1.0|1.27|5.5|11.0|H
Juventus|Fiorentina|14.8|4.4|11.0|6.0|9.8|3.8|11.2|3.2|1.4|1.8|1.95|3.3|4.2|D
Milan|Roma|16.4|4.2|12.6|5.8|10.4|3.0|11.2|3.2|1.6|1.2|2.25|3.4|3.2|D
Como|Lecce|14.8|4.8|14.2|5.4|7.6|1.2|13.2|2.6|1.0|1.4|1.7|3.7|5.0|H
Bologna|Verona|18.8|5.8|12.6|7.0|10.2|3.0|18.4|3.0|2.0|0.6|1.5|4.1|7.0|A
Venezia|Empoli|11.2|5.0|10.8|4.6|12.0|4.0|17.0|5.0|1.0|0.6|2.3|3.1|3.4|D
Fiorentina|Napoli|13.6|4.8|10.0|6.8|12.0|3.6|10.4|5.2|1.4|2.4|2.88|3.25|2.55|A
Verona|Udinese|10.2|2.6|16.0|4.2|12.6|4.4|14.2|3.8|1.2|1.4|3.0|3.0|2.55|D
Monza|Cagliari|14.8|3.0|13.2|4.6|11.6|3.8|14.8|5.2|0.2|0.6|2.4|3.25|3.0|A
Lecce|Genoa|12.0|3.6|10.8|4.6|10.6|3.6|13.8|4.2|0.8|1.6|2.63|3.0|2.9|D
Torino|Parma|8.8|2.2|13.6|4.8|9.4|3.2|7.2|4.4|1.0|1.2|1.85|3.4|4.5|D
Roma|Lazio|13.8|5.8|12.0|4.4|14.8|6.0|13.0|6.8|1.4|1.4|2.55|3.1|3.0|H
Lazio|Como|13.0|4.0|10.6|3.6|13.0|4.4|12.8|5.6|1.4|1.6|1.9|3.4|4.2|D
Empoli|Lecce|10.0|4.6|11.8|6.4|8.2|2.0|16.0|2.0|0.8|0.8|2.0|3.1|4.33|A
Udinese|Atalanta|8.8|2.6|12.0|5.6|12.6|4.2|11.6|4.8|1.6|2.6|5.25|3.8|1.65|D
Torino|Juventus|9.2|2.4|14.0|6.4|12.6|5.6|11.4|4.4|1.2|1.4|5.0|3.2|1.8|D
Milan|Cagliari|18.6|5.4|11.6|6.6|11.6|4.0|13.6|4.8|1.6|0.6|1.33|5.0|9.5|D
Genoa|Parma|11.6|3.6|11.6|5.8|8.6|2.8|8.2|5.0|1.2|0.8|1.91|3.5|4.0|H
Venezia|Inter|10.2|4.2|11.4|4.2|15.2|6.0|9.6|4.0|1.2|3.0|11.0|5.25|1.29|A
Bologna|Roma|17.8|6.8|13.2|5.4|9.8|2.8|11.0|3.6|2.0|2.0|2.8|3.2|2.6|D
Napoli|Verona|15.6|3.4|10.0|8.0|10.0|3.2|15.2|2.4|2.4|1.4|1.25|5.5|13.0|H
Monza|Fiorentina|14.4|3.2|14.8|4.4|9.6|3.4|11.0|3.2|0.0|0.8|4.2|3.5|1.85|H
Como|Milan|14.4|5.2|13.6|5.2|12.6|5.4|13.0|4.0|1.6|1.2|4.2|3.5|1.9|A
Atalanta|Juventus|15.4|6.2|11.8|5.0|13.8|6.4|10.0|4.4|2.2|1.4|2.1|3.25|3.7|D
Inter|Bologna|16.0|5.6|13.8|6.6|10.0|4.0|15.8|2.0|3.0|1.6|1.48|4.2|7.0|D
Roma|Genoa|14.0|6.2|11.2|4.2|9.0|2.8|12.6|3.2|1.6|1.6|1.5|4.1|6.5|H
Bologna|Monza|17.4|7.4|14.6|4.4|8.2|3.0|15.8|4.0|1.6|0.6|1.6|3.75|6.0|H
Juventus|Milan|13.0|4.4|13.4|5.0|11.6|4.6|12.2|4.0|1.4|1.8|2.15|3.3|3.4|H
Atalanta|Napoli|15.2|6.2|12.6|4.6|12.2|3.8|9.8|5.0|1.8|3.0|2.25|3.25|3.25|A
Fiorentina|Torino|13.4|4.0|10.6|7.4|9.6|3.4|13.4|3.4|0.2|1.2|1.73|3.4|5.5|D
Cagliari|Lecce|14.2|5.8|11.6|5.2|8.4|2.4|15.2|2.0|0.8|1.4|1.95|3.3|4.1|H
Parma|Venezia|13.6|5.2|11.4|4.6|6.2|1.8|13.2|2.6|0.8|1.0|2.15|3.7|3.1|D
Verona|Lazio|12.0|2.6|14.8|4.8|14.8|5.8|12.6|6.8|1.4|1.0|5.0|3.5|1.75|A
Inter|Empoli|15.6|5.4|13.2|6.2|10.8|3.0|14.0|5.0|2.6|0.2|1.25|5.75|13.0|H
Como|Udinese|14.6|6.0|13.4|5.2|11.6|3.6|15.0|3.2|1.4|1.2|2.15|3.4|3.4|H
Torino|Cagliari|10.4|2.6|12.8|6.2|9.4|3.0|14.2|3.8|0.8|1.4|2.2|3.2|3.6|H
Como|Atalanta|14.2|6.4|13.2|3.8|10.6|3.6|12.0|4.8|1.4|1.2|4.2|3.6|1.85|A
Napoli|Juventus|15.8|3.4|9.8|9.0|13.4|6.4|10.6|3.8|3.0|1.8|2.15|3.1|3.8|H
Empoli|Bologna|9.2|4.0|13.4|6.2|8.8|4.8|14.2|2.2|0.2|1.6|3.8|3.3|2.0|D
Milan|Parma|20.2|6.2|12.6|7.6|9.0|3.2|7.6|4.6|1.6|1.0|1.3|6.0|8.5|H
Udinese|Roma|8.6|2.8|12.6|3.8|10.2|4.2|11.2|4.2|1.2|2.2|3.3|3.3|2.25|A
Lecce|Inter|11.8|3.8|12.0|5.2|14.0|6.0|9.4|3.2|0.8|2.6|9.5|5.25|1.33|A
Lazio|Fiorentina|13.4|3.6|10.0|6.0|9.4|3.4|11.0|3.0|1.6|0.4|2.0|3.5|3.8|A
Venezia|Verona|8.8|3.2|12.2|4.4|12.6|3.8|14.2|3.6|1.0|0.8|2.15|3.5|3.25|D
Genoa|Monza|13.6|4.0|10.8|6.0|7.4|2.0|17.0|4.6|1.4|0.6|2.25|3.0|3.6|H
Parma|Lecce|15.6|6.0|11.8|4.8|8.2|2.6|14.8|2.0|1.0|0.8|2.15|3.4|3.5|A
Monza|Verona|13.8|3.2|14.6|4.6|12.8|4.2|16.4|4.0|0.6|1.0|2.3|3.0|3.5|A
Udinese|Venezia|10.4|3.4|14.0|3.4|7.6|2.0|12.0|3.2|0.6|0.6|1.83|3.4|4.5|H
Atalanta|Torino|17.4|7.4|11.8|5.4|9.4|3.8|12.8|2.4|1.2|1.4|1.42|4.5|7.5|D
Bologna|Como|17.2|6.4|15.0|5.0|12.2|4.2|14.6|4.8|1.2|1.4|1.9|3.5|4.2|H
Juventus|Empoli|15.0|5.2|14.8|5.6|11.0|3.6|13.4|5.6|1.2|0.4|1.36|4.75|9.0|H
Fiorentina|Genoa|12.6|4.0|13.8|6.0|9.4|2.4|13.2|4.0|1.0|2.0|1.65|3.9|5.25|H
Milan|Inter|18.2|6.2|11.2|7.8|14.8|5.8|10.2|5.0|1.6|2.6|4.0|3.5|1.91|D
Roma|Napoli|15.4|6.4|9.6|4.2|10.0|3.0|10.6|4.2|2.2|3.0|3.1|3.2|2.38|D
Cagliari|Lazio|14.0|5.4|13.0|5.4|12.4|5.4|11.8|6.2|1.4|1.0|3.9|3.4|2.0|A
Fiorentina|Inter|13.0|4.6|14.2|5.0|14.6|4.8|9.4|6.2|1.4|2.2|3.6|3.5|2.05|H
Como|Juventus|13.8|6.2|12.6|4.4|12.2|6.4|11.8|2.6|0.8|1.6|3.7|3.4|2.05|A
Verona|Atalanta|13.8|3.6|14.0|5.4|10.4|3.6|10.6|4.4|1.0|1.2|6.25|4.1|1.53|A
Empoli|Milan|10.0|3.6|15.2|6.4|12.2|4.4|12.0|4.6|0.4|1.6|5.5|3.8|1.65|A
Torino|Genoa|11.4|3.0|12.0|6.2|9.6|2.8|12.8|4.0|1.4|1.4|2.2|3.1|3.6|D
Venezia|Roma|9.6|3.0|12.4|4.2|11.6|5.0|13.6|5.0|0.6|2.2|5.0|3.7|1.73|A
Cagliari|Parma|13.0|4.8|13.8|5.4|9.8|3.0|9.4|5.6|1.4|0.4|1.85|3.6|4.1|H
Lazio|Monza|16.0|4.6|9.2|7.0|6.2|1.6|17.2|4.0|1.4|0.6|1.38|4.75|8.5|H
Lecce|Bologna|11.0|2.8|13.2|6.0|9.8|5.0|14.6|3.2|1.4|1.8|4.2|3.5|1.91|D
Napoli|Udinese|16.6|3.8|10.4|8.6|10.0|3.8|14.4|2.8|2.6|1.0|1.44|4.5|7.5|D
Inter|Fiorentina|17.4|6.2|13.4|7.0|9.2|3.0|11.0|2.4|1.6|2.0|1.48|4.75|6.5|H
Bologna|Torino|18.6|6.6|13.2|6.4|9.0|4.2|13.2|2.0|1.8|1.4|1.8|3.4|5.0|H
Atalanta|Cagliari|15.8|6.2|10.4|5.6|8.4|2.8|12.4|3.4|1.6|1.4|1.44|4.75|6.5|D
Lazio|Napoli|16.6|5.2|9.6|7.6|7.8|2.8|12.8|2.6|2.0|2.2|2.63|3.2|2.8|D
Milan|Verona|17.4|6.0|11.2|8.0|10.8|3.4|16.8|5.0|2.0|0.8|1.33|4.75|9.5|H
Fiorentina|Como|11.2|4.6|15.0|3.4|10.2|3.4|16.4|4.0|2.0|0.6|2.0|3.5|3.75|A
Monza|Lecce|10.0|3.0|14.2|3.2|11.4|3.4|15.6|3.2|0.6|1.4|2.7|3.2|2.7|D
Udinese|Empoli|12.4|4.6|13.6|4.6|11.2|3.4|13.6|5.0|1.0|0.2|1.8|3.5|4.75|H
Parma|Roma|14.2|5.4|10.6|4.2|13.6|5.6|11.2|6.0|0.2|2.2|3.6|3.5|2.05|A
Juventus|Inter|16.2|6.2|14.6|6.8|14.0|4.2|10.4|5.8|2.0|2.0|3.4|3.2|2.25|H
Genoa|Venezia|12.4|3.8|11.4|5.6|8.0|2.4|12.0|4.2|1.4|0.4|1.85|3.4|4.5|H
Lecce|Udinese|10.8|2.2|13.2|7.8|10.4|4.2|13.4|4.2|1.0|1.4|3.0|3.0|2.6|A
Parma|Bologna|11.2|4.4|12.4|3.2|11.0|4.4|14.4|3.2|0.2|2.2|4.0|3.5|1.91|H
Venezia|Lazio|9.0|2.2|15.4|4.6|12.8|5.4|11.8|7.0|0.4|2.0|5.0|4.0|1.67|D
Torino|Milan|12.0|3.6|12.6|6.2|16.2|5.6|10.4|6.8|1.2|2.0|3.9|3.3|2.0|H
Inter|Genoa|17.4|6.2|13.2|6.2|9.0|2.2|13.0|4.6|1.4|1.4|1.27|5.25|13.0|H
Como|Napoli|12.4|5.2|13.6|4.4|8.0|3.2|14.0|2.6|1.2|1.8|3.6|3.0|2.25|H
Verona|Fiorentina|12.8|3.6|14.8|5.2|8.8|2.8|10.6|2.0|0.8|1.8|4.33|3.4|1.9|H
Empoli|Atalanta|10.0|3.0|14.6|4.6|10.8|4.8|12.0|4.2|0.2|1.6|6.25|3.9|1.57|A
Cagliari|Juventus|12.2|3.6|12.4|5.6|11.8|6.0|12.2|2.0|1.4|2.4|4.1|3.5|1.9|A
Roma|Monza|15.4|5.8|9.8|3.8|5.2|1.8|15.4|3.2|2.6|0.2|1.33|4.75|11.0|H
Bologna|Milan|16.8|6.0|14.0|5.0|15.0|5.2|11.6|6.2|1.6|2.0|2.88|3.3|2.5|H
Fiorentina|Lecce|10.4|4.8|13.6|3.6|10.8|3.8|15.0|2.8|1.2|1.0|1.75|3.4|5.0|H
Atalanta|Venezia|16.2|5.4|10.6|5.0|8.0|2.4|13.2|3.8|2.2|0.4|1.2|6.5|15.0|D
Napoli|Inter|18.0|4.4|8.6|9.8|11.8|3.2|11.2|5.4|1.2|1.4|3.1|3.2|2.38|D
Udinese|Parma|14.4|5.2|13.2|5.2|9.8|3.2|9.0|6.6|2.0|0.6|1.8|3.6|4.5|H
Monza|Torino|8.4|2.4|14.8|2.8|8.8|4.8|14.2|2.2|0.2|1.6|4.1|3.3|1.95|A
Bologna|Cagliari|17.0|5.4|13.4|4.8|6.0|1.6|15.0|2.0|2.0|0.8|1.57|3.75|6.5|H
Genoa|Empoli|12.4|3.8|11.4|5.4|11.2|3.0|14.2|5.6|1.4|0.2|1.91|3.1|4.75|D
Roma|Como|13.8|4.8|9.0|3.0|10.2|3.2|18.0|2.6|2.6|1.2|1.87|3.6|4.0|H
Milan|Lazio|16.2|5.4|10.6|7.4|14.4|5.6|10.6|6.8|1.4|1.6|2.05|3.6|3.5|A
Juventus|Verona|19.2|7.2|15.6|6.6|10.2|3.0|13.6|4.0|2.4|1.4|1.3|5.0|12.0|H
Cagliari|Genoa|13.0|3.6|12.8|5.0|9.8|2.4|13.0|4.8|0.8|1.0|2.45|3.0|3.2|D
Como|Venezia|12.4|5.8|13.6|4.6|9.4|3.2|13.6|4.0|1.2|0.4|1.57|3.8|6.5|D
Parma|Torino|11.8|4.6|12.4|3.8|7.6|4.0|14.8|2.4|0.6|1.6|3.0|3.25|2.4|D
Lecce|Milan|10.8|2.4|13.2|7.0|15.8|5.8|9.6|6.8|1.0|1.2|4.75|3.6|1.75|A
Inter|Monza|20.0|7.0|12.2|7.4|4.8|1.8|12.6|2.2|1.4|0.2|1.14|7.0|21.0|H
Verona|Bologna|12.2|3.6|15.2|4.8|11.8|4.6|13.2|3.8|1.2|2.0|5.25|3.3|1.75|A
Napoli|Fiorentina|16.8|5.0|8.6|7.8|8.0|2.4|9.8|2.4|0.8|1.2|1.55|4.0|6.25|H
Empoli|Roma|8.2|1.6|13.8|3.4|14.4|6.0|11.6|6.8|0.2|2.6|3.9|3.3|2.0|A
Juventus|Atalanta|18.0|6.6|15.2|5.6|11.8|5.8|12.0|3.8|3.0|1.8|2.5|3.25|2.88|A
Lazio|Udinese|16.4|5.2|10.2|8.0|11.2|4.2|12.8|5.6|2.2|2.6|1.73|3.5|5.25|D
Genoa|Lecce|11.8|3.6|12.2|5.0|11.0|3.0|12.8|3.0|1.2|0.4|2.15|2.9|4.2|H
Monza|Parma|9.6|2.8|14.4|3.8|10.6|3.8|10.4|5.8|0.2|0.8|3.1|3.0|2.45|D
Udinese|Verona|14.2|5.2|16.6|4.6|10.4|3.0|15.8|4.0|2.2|0.6|1.73|3.5|5.0|A
Milan|Como|13.2|3.8|13.0|5.6|11.6|3.6|16.4|3.4|1.2|1.4|1.8|3.6|4.5|H
Torino|Empoli|12.2|3.4|12.6|5.6|10.8|2.2|13.8|5.0|1.6|0.2|1.8|3.3|5.0|H
Venezia|Napoli|10.0|2.4|16.2|4.8|9.0|3.8|12.6|3.8|0.6|1.2|5.75|4.33|1.53|D
Bologna|Lazio|16.0|5.4|13.8|5.4|12.4|4.8|10.2|5.0|2.4|1.8|2.4|3.1|3.25|H
Roma|Cagliari|15.0|4.0|7.4|4.0|5.6|1.8|13.6|2.0|3.0|1.0|1.55|4.2|5.75|H
Fiorentina|Juventus|8.2|4.2|12.2|2.0|11.0|4.6|13.0|3.0|0.6|2.4|3.4|3.2|2.25|H
Atalanta|Inter|16.0|4.8|10.8|4.8|12.8|3.2|11.6|6.6|2.2|2.0|2.55|3.3|2.8|A
